FileName,ID,Grid,VHF,Type,XYZ,Date.XYZ.On,Time.XYZ.On,Date.on.Bunny,Time.on Bunny,Loc,Date.Off.Bunny,Time.Off.Bunny,Date.Retrieved,Notes
SB_26383_18-02-2023.csv,26383,SU,149.12,axy,SB,17/1/2023,5:25:30,17/1/2023,8:00:00,G15,18/2/2023,8:00:00,,
,26383,SU,150.085,prebuilt,,18/2/2023,5:54:09,18/2/2023,8:00:00,G17,9/3/2023,8:00:00,,
SB_26383_23-04-2023.csv,26383,SU,149.43,regular axy ,SB,9/3/2023,5:35:43,9/3/2023,8:00:00,H16,23/4/2023,8:00:00,,
,26606,SU,150.236,prebuilt,,18/2/2023,5:53:03,18/2/2023,8:00:00,H12,9/3/2023,8:00:00,,
26606_23-4-2023.csv,26606,SU,151.154,regular axy ,XQ,9/3/2023,5:36:38,9/3/2023,8:00:00,G19,23/4/2023,8:00:00,,subtract 12 hours from axy data
26658_23-1-2023.csv,26658,SU,149.34,regular axy ,YL,17/1/2023,5:24:22,17/1/2023,8:00:00,G13,23/1/2023,8:00:00,23/1/2023,BIRD KILL
26662_9-2-2023.csv,26662,JO,151.596,regular axy ,HF,15/1/2023,5:16:33,15/1/2023,8:00:00,N10,9/2/2023,8:00:00,,
,26662,JO,150.129,prebuilt,PB,9/2/2023,6:28:27,9/2/2023,8:00:00,N14,NA,8:00:00,,dead? Trouble finding collar
26663_16-2-2023.csv,26663,KL,149.05,regular axy ,YO,16/1/2023,5:36:35,16/1/2023,8:00:00,F12,16/2/2023,8:00:00,,
,26663,KL,150.067,prebuilt,,16/2/2023,6:26:45,16/2/2023,8:00:00,E3,3/3/2023,8:00:00,,
26664_18_02_23.csv,26664,SU,151.154,regular axy ,SC,17/1/2023,5:25:00,17/1/2023,8:00:00,T8,18/2/2023,8:00:00,,
,26664,SU,150.054,prebuilt,,18/2/2023,5:55:20,18/2/2023,8:00:00,T8,9/3/2023,8:00:00,,
26664_23-4-2023.csv,26664,SU,149.12,regular axy ,HC,9/3/2023,5:36:10,9/3/2023,8:00:00,N10,23/4/2023,8:00:00,,
,26665,SU,150.009,prebuilt,,18/2/2023,5:55:54,18/2/2023,8:00:00,N4,9/3/2023,8:00:00,,
26665_23-4-2023.csv,26665,SU,149.29,regular axy ,YO,9/3/2023,5:37:33,9/3/2023,8:00:00,H2,23/4/2023,8:00:00,,
26668_7-4-2023.csv,26668,JO,149.34,regular axy ,YL,9/2/2023,6:29:50,9/2/2023,8:00:00,N20,7/4/2023,8:00:00,,
26669_7-4-2023.csv,26669,JO,151.694,regular axy ,BZ,1/3/2023,6:26:27,1/3/2023,8:00:00,N2,7/4/2023,8:00:00,,
B6676.csv,26676,JO,151.694,regular axy ,HC,15/1/2023,5:14:30,15/1/2023,8:00:00,B4,26/1/2023,8:00:00,???,"KILL, very old kill. Lynx?"
26681_7-4-2023.csv,26681,JO,149.05,regular axy ,SC,1/3/2023,6:25:33,1/3/2023,8:00:00,B12,7/4/2023,8:00:00,,
26687_1-3-2023.csv,26687,JO,151.265,regular axy ,YJ,9/2/2023,6:30:24,2/9/2023,8:00:00,N18,1/3/2023,8:00:00,,
26687_7-4-2023.csv,26687,JO,149.67,regular axy ,EH,1/3/2023,6:25:58,1/3/2023,8:00:00,N18,7/4/2023,8:00:00,,
26688_23-4-2023.csv,26688,SU,150.861,regular axy ,YG,17/1/2023,5:24:07,17/1/2023,8:00:00,A5,23/4/2023,8:00:00,,
26689_16-2-2023.csv,26689,KL,149.43,regular axy ,XQ,16/1/2023,5:38:02,16/1/2023,8:00:00,35,16/2/2023,8:00:00,,
,26689,KL,150.067,prebuilt,,16/2/2023,6:26:20,16/2/2023,8:00:00,24,3/3/2023,8:00:00,,
B6690_3-3-2023.csv,26690,KL,149.39,regular axy ,SE,16/1/2023,5:37:00,16/1/2023,8:00:00,511,3/3/2023,8:00:00,,
26691_9-2-2023.csv,26691,JO,149.2,regular axy ,EH,15/1/2023,5:15:15,15/1/2023,8:00:00,A13,9/2/2023,8:00:00,,
26691_7-4-2023.csv,26691,JO,149.7,regular axy ,ET,9/2/2023,6:29:32,9/2/2023,8:00:00,B12,7/4/2023,8:00:00,,
26692_9-2-2023.csv,26692,JO,149.67,regular axy ,B2,16/1/2023,5:37:40,20/1/2023,8:00:00,B12,9/2/2023,8:00:00,,
,26692,JO,150.129,prebuilt,,9/2/2023,6:25:00,9/2/2023,8:00:00,B4,1/3/2023,8:00:00,,
,26693,JO,149.924,regular axy ,5,15/1/2023,5:16:00,15/1/2023,8:00:00,B2,26/1/2023,8:00:00,26/1/2023,"lynx kill, water damage? "
,26778,SU,150.187,prebuilt,4,18/2/2023,5:52:02,18/2/2023,8:00:00,B18,23/4/2023,8:00:00,,Needs to be walked in on
B6783_16_01_23.csv,26783,KL,149.7,regular axy ,ET,16/01/2023,5:17:40,16/1/2023,8:00:00,J14,23/1/2023,8:00:00,23/1/2023,LYNX KILL
