Bunny ID,GRID,XYZ,Date XYZ On,XYZ Schedule,Time XYZ On,GPS ,Date GPS On,Time GPS On,GPS Schedule,GPS Delay,Frequency,Date on Bunny,Time on Bunny,Date Off Bunny,Time off Bunny,Date GPS OFF,Time GPS Off,GPS Dump?,Date XYZ Off,SigA Start,SigA End,SigB Start,SigB End,Time XYZ Off,XYZ Dump,Last Record Date,Notes
22109,Kloo,BZ,20-May-18,1,14:18:18,NA,NA,NA,NA,NA,149.29,20-May-18,~18:00,25-Nov-18,22:40,NA,NA,NA,27-Nov-18,NA,NA,NA,NA,already off,Y,28-Jun-18,
23921,Kloo,HH,23-May-18,1,14:03:05,NA,NA,NA,NA,NA,149.1,23-May-18,~18:00,14-Nov-18,~22:30,NA,NA,NA,23-Nov-18,NA,NA,NA,NA,already off,,7-Aug-18,
24553,Kloo,MZ,23-May-18,1,14:03:13,NA,NA,NA,NA,NA,149.69,23-May-18,~18:00,12-Aug-18,~14:00,NA,NA,NA,5-Nov-18,NA,NA,NA,NA,already off,Y,12-Aug-18,Axy worked great
24498,Kloo,JJ,23-May-18,1,14:03:22,NA,NA,NA,NA,NA,149.79,23-May-18,~18:00,21-Nov-18,~11:00,NA,NA,NA,23-Nov-18,NA,NA,NA,NA,already off,,9-Oct-18,Axy worked great
24521,Kloo,EA,23-May-18,1,14:03:25,NA,NA,NA,NA,NA,149.22,23-May-18,~18:00,2-Jul-18,~14:00,NA,NA,NA,5-Nov-18,NA,NA,NA,NA,already off,Y,28-Jul-18,Axy worked great
22724,Kloo,HC Alb,24-May-18,1,13:51:53,NA,NA,NA,NA,NA,149.81,24-May-18,~18:00,28-Jul-18,~9:00,NA,NA,NA,5-Nov-18,NA,NA,NA,NA,already off,Y,11-Aug-18,Axy worked good
24335,Kloo,BU,24-May-18,1,13:52:03,NA,NA,NA,NA,NA,171.895,24-May-18,~18:00,21-Nov-18,11:15,NA,NA,NA,23-Nov-18,NA,NA,NA,NA,already off,Y,16-Jun-18,"Axy did not last long, only 2 weeks"
24271,Kloo,HA,24-May-18,1,15:34:22,NA,NA,NA,NA,NA,171.635,24-May-18,~18:00,17-Nov-18,21:50,NA,NA,NA,23-Nov-18,NA,NA,NA,NA,already off,,7-Aug-18,Axy worked well
25021,Jo,HD,24-May-18,1,15:34:27,NA,NA,NA,NA,NA,171.135,24-May-18,~18:00,18-Jan-19,22:58,NA,NA,NA,18-Jan-19,NA,NA,NA,NA,already off,,6-Aug-18,Axy worked well
24579,Jo,EF,25-May-18,1,16:41:26,NA,NA,NA,NA,NA,170.845,25-May-18,~18:00,12-Nov-18,~16:00,NA,NA,NA,23-Nov-18,NA,NA,NA,NA,already off,,4-Aug-18,Axy worked well
