snowdepthSTN,depthDate,snow depth,Comments
SS-1,17-Nov-2020,18,
SS-2,17-Nov-2020,22,
SS-3,17-Nov-2020,28,
SS-4,17-Nov-2020,24,
SS-5,17-Nov-2020,17,
SS-6,17-Nov-2020,15,
SS-1,11-Mar-2020,41,
SS-2,11-Mar-2020,69,
SS-3,11-Mar-2020,59,
SS-4,11-Mar-2020,60,
SS-5,11-Mar-2020,50,
SS-6,11-Mar-2020,46,
SS-1,08-Mar-2020,-9999,Not recorded
SS-2,08-Mar-2020,42,
SS-3,08-Mar-2020,62,
SS-4,08-Mar-2020,53,
SS-5,08-Mar-2020,-9999,Not recorded
SS-6,08-Mar-2020,47,
SS-1,07-Mar-2020,41,
SS-2,07-Mar-2020,69,
SS-3,07-Mar-2020,59,
SS-4,07-Mar-2020,46,
SS-5,07-Mar-2020,45,
SS-6,07-Mar-2020,47,
SS-1,04-Mar-2020,41,
SS-2,04-Mar-2020,72,
SS-3,04-Mar-2020,61,
SS-4,04-Mar-2020,43,
SS-5,04-Mar-2020,54,
SS-6,04-Mar-2020,44,
SS-1,03-Mar-2020,-9999,Not recorded
SS-2,03-Mar-2020,61,
SS-3,03-Mar-2020,60,
SS-4,03-Mar-2020,52,
SS-5,03-Mar-2020,54,
SS-6,03-Mar-2020,48,
SS-1,02-Mar-2020,41,
SS-2,02-Mar-2020,57,
SS-3,02-Mar-2020,61,
SS-4,02-Mar-2020,-9999,Not recorded
SS-5,02-Mar-2020,52,
SS-6,02-Mar-2020,-9999,Not recorded
SS-1,28-Feb-2020,43,
SS-2,28-Feb-2020,60,
SS-3,28-Feb-2020,63,
SS-4,28-Feb-2020,61,
SS-5,28-Feb-2020,56,
SS-6,28-Feb-2020,51,
SS-1,27-Feb-2020,45,
SS-2,27-Feb-2020,59,
SS-3,27-Feb-2020,63,
SS-4,27-Feb-2020,60,
SS-5,27-Feb-2020,56,
SS-6,27-Feb-2020,50,
SS-1,26-Feb-2020,45,
SS-2,26-Feb-2020,60,
SS-3,26-Feb-2020,63,
SS-4,26-Feb-2020,67,
SS-5,26-Feb-2020,57,
SS-6,26-Feb-2020,50,
SS-1,21-Feb-2020,55,
SS-2,21-Feb-2020,50,
SS-3,21-Feb-2020,56,
SS-4,21-Feb-2020,66,
SS-5,21-Feb-2020,54,
SS-6,21-Feb-2020,-9999,Not recorded
SS-1,20-Feb-2020,45,
SS-2,20-Feb-2020,-9999,Not recorded
SS-3,20-Feb-2020,55,
SS-4,20-Feb-2020,55,
SS-5,20-Feb-2020,50,
SS-6,20-Feb-2020,44,
SS-1,19-Feb-2020,-9999,Not recorded
SS-2,19-Feb-2020,-9999,Not recorded
SS-3,19-Feb-2020,-9999,Not recorded
SS-4,19-Feb-2020,60,
SS-5,19-Feb-2020,50,
SS-6,19-Feb-2020,44,
SS-1,18-Feb-2020,-9999,Not recorded
SS-2,18-Feb-2020,-9999,Not recorded
SS-3,18-Feb-2020,-9999,Not recorded
SS-4,18-Feb-2020,53,
SS-5,18-Feb-2020,51,
SS-6,18-Feb-2020,-9999,Not recorded
SS-1,16-Feb-2020,26,
SS-2,16-Feb-2020,60,
SS-3,16-Feb-2020,-9999,Not recorded
SS-4,16-Feb-2020,52,
SS-5,16-Feb-2020,32,
SS-6,16-Feb-2020,42,
SS-1,14-Feb-2020,-9999,Not recorded
SS-2,14-Feb-2020,60,
SS-3,14-Feb-2020,55,
SS-4,14-Feb-2020,51,
SS-5,14-Feb-2020,51,
SS-6,14-Feb-2020,43,
SS-1,12-Feb-2020,-9999,"Not recorded, transect only completed to km 20 (starting at the Chitty end)"
SS-2,12-Feb-2020,60,
SS-3,12-Feb-2020,60,
SS-4,12-Feb-2020,40,
SS-5,12-Feb-2020,55,
SS-6,12-Feb-2020,35,
SS-1,08-Feb-2020,-9999,"Not recorded, transect not competed past km 15"
SS-2,08-Feb-2020,-9999,"Not recorded, transect not competed past km 15"
SS-3,08-Feb-2020,60,
SS-4,08-Feb-2020,52,
SS-5,08-Feb-2020,50,
SS-6,08-Feb-2020,45,
SS-1,23-Feb-2019,50,
SS-2,23-Feb-2019,52,
SS-3,23-Feb-2019,51,
SS-4,23-Feb-2019,33,
SS-5,23-Feb-2019,33,
SS-6,23-Feb-2019,28,
SS-1,07-Feb-2019,40,
SS-2,07-Feb-2019,51,
SS-3,07-Feb-2019,45,
SS-4,07-Feb-2019,26,
SS-5,07-Feb-2019,27,
SS-6,07-Feb-2019,27,
SS-1,01-Feb-2019,39,
SS-2,01-Feb-2019,48,
SS-3,01-Feb-2019,33,
SS-4,01-Feb-2019,24,
SS-5,01-Feb-2019,32,
SS-6,01-Feb-2019,20,
SS-1,27-Jan-2019,39,
SS-2,27-Jan-2019,48,
SS-3,27-Jan-2019,37,
SS-4,27-Jan-2019,20,
SS-5,27-Jan-2019,25,
SS-6,27-Jan-2019,18,
SS-1,16-Jan-2019,32,
SS-2,16-Jan-2019,48,
SS-3,16-Jan-2019,39,
SS-4,16-Jan-2019,22,
SS-5,16-Jan-2019,30,
SS-6,16-Jan-2019,19,
SS-1,05-Jan-2019,32,
SS-2,05-Jan-2019,47,
SS-3,05-Jan-2019,34,
SS-4,05-Jan-2019,20,
SS-5,05-Jan-2019,31,
SS-6,05-Jan-2019,21,
SS-1,11-Dec-2018,31,
SS-2,11-Dec-2018,44,
SS-3,11-Dec-2018,31,
SS-4,11-Dec-2018,14,
SS-5,11-Dec-2018,17,
SS-6,11-Dec-2018,17,
SS-1,17-Nov-2018,10,
SS-2,17-Nov-2018,25,
SS-3,17-Nov-2018,22,
SS-4,17-Nov-2018,8,transect stopped due to lack of snow
SS-5,17-Nov-2018,-9999,
SS-6,17-Nov-2018,-9999,
SS-1,23-Mar-2018,82,
SS-2,23-Mar-2018,75,
SS-3,23-Mar-2018,64,
SS-4,23-Mar-2018,47,
SS-5,23-Mar-2018,50,
SS-6,23-Mar-2018,34,
SS-1,24-Feb-2018,70,
SS-2,24-Feb-2018,83,
SS-3,24-Feb-2018,82,
SS-4,24-Feb-2018,50,
SS-5,24-Feb-2018,50,
SS-6,24-Feb-2018,33,
SS-1,21-Feb-2018,55,
SS-2,21-Feb-2018,67,
SS-3,21-Feb-2018,71,
SS-4,21-Feb-2018,54,
SS-5,21-Feb-2018,55,
SS-6,21-Feb-2018,30,
SS-1,17-Feb-2018,70,
SS-2,17-Feb-2018,74,
SS-3,17-Feb-2018,79,
SS-4,17-Feb-2018,56,
SS-5,17-Feb-2018,52,
SS-6,17-Feb-2018,32,
SS-1,29-Jan-2018,53,
SS-2,29-Jan-2018,82,
SS-3,29-Jan-2018,75,
SS-4,29-Jan-2018,55,
SS-5,29-Jan-2018,52,
SS-6,29-Jan-2018,33,
SS-1,06-Jan-2018,46,
SS-2,06-Jan-2018,55,
SS-3,06-Jan-2018,58,
SS-4,06-Jan-2018,46,
SS-5,06-Jan-2018,48,
SS-6,06-Jan-2018,23,
SS-1,21-Dec-2017,41,
SS-2,21-Dec-2017,51,
SS-3,21-Dec-2017,47,
SS-4,21-Dec-2017,41,
