"","V1","Date","Forage","Hopping","notmoving","Sprinting","ID"
"1",1,2023-03-10,28224,480,57588,108,"26606"
"2",2,2023-03-11,1116,20,85248,16,"26606"
"3",3,2023-03-12,24,NA,86376,NA,"26606"
"4",4,2023-03-13,48,NA,86352,NA,"26606"
"5",5,2023-03-14,12,NA,86388,NA,"26606"
"6",6,2023-03-15,NA,NA,86400,NA,"26606"
"7",7,2023-03-16,12,NA,86388,NA,"26606"
"8",8,2023-03-17,NA,NA,86400,NA,"26606"
"9",9,2023-03-18,NA,NA,86400,NA,"26606"
"10",10,2023-03-19,NA,NA,86400,NA,"26606"
"11",11,2023-03-20,NA,NA,86400,NA,"26606"
"12",12,2023-03-21,NA,NA,86400,NA,"26606"
"13",13,2023-03-22,NA,NA,86400,NA,"26606"
"14",14,2023-03-23,NA,NA,86400,NA,"26606"
"15",15,2023-03-24,NA,NA,86400,NA,"26606"
"16",16,2023-03-25,NA,NA,86400,NA,"26606"
"17",17,2023-03-26,NA,NA,86400,NA,"26606"
"18",18,2023-03-27,NA,NA,86400,NA,"26606"
"19",19,2023-03-28,NA,NA,86400,NA,"26606"
"20",20,2023-03-29,NA,NA,86400,NA,"26606"
"21",21,2023-03-30,NA,NA,86400,NA,"26606"
"22",22,2023-03-31,NA,NA,86400,NA,"26606"
"23",23,2023-04-01,NA,NA,86400,NA,"26606"
"24",24,2023-04-02,NA,NA,86400,NA,"26606"
"25",25,2023-04-03,NA,NA,86400,NA,"26606"
"26",26,2023-04-04,NA,NA,86400,NA,"26606"
"27",27,2023-04-05,NA,NA,86400,NA,"26606"
"28",28,2023-04-06,NA,NA,86400,NA,"26606"
"29",29,2023-04-07,NA,NA,86400,NA,"26606"
"30",30,2023-04-08,NA,NA,86400,NA,"26606"
"31",31,2023-04-09,NA,NA,86400,NA,"26606"
"32",32,2023-04-10,NA,NA,86400,NA,"26606"
"33",33,2023-04-11,NA,NA,86400,NA,"26606"
"34",34,2023-04-12,NA,NA,86400,NA,"26606"
"35",35,2023-04-13,NA,NA,86400,NA,"26606"
"36",36,2023-04-14,NA,NA,86400,NA,"26606"
"37",37,2023-04-15,NA,NA,86400,NA,"26606"
"38",38,2023-04-16,NA,NA,86400,NA,"26606"
"39",39,2023-04-17,NA,NA,86400,NA,"26606"
"40",40,2023-04-18,NA,NA,86400,NA,"26606"
"41",41,2023-04-19,NA,NA,86400,NA,"26606"
"42",42,2023-04-20,NA,NA,86400,NA,"26606"
"43",43,2023-04-21,NA,NA,86400,NA,"26606"
"44",44,2023-04-22,NA,NA,86400,NA,"26606"
"45",1,2023-01-18,23276,488,62568,68,"26658"
"46",2,2023-01-19,12,NA,86388,NA,"26658"
"47",3,2023-01-20,20,4,86376,NA,"26658"
"48",4,2023-01-21,NA,NA,86400,NA,"26658"
"49",5,2023-01-22,24,NA,86376,NA,"26658"
"50",1,2023-01-16,27876,256,58164,104,"26662"
"51",2,2023-01-17,37249,464,48603,84,"26662"
"52",3,2023-01-18,25411,224,60669,96,"26662"
