"","winter","sample","grid","ID","collar","food","date","time","dried","crushed","weight(mg)","sampleloc","comments"
"1",2016,625,"CH",2307,"RC-On",0,"9/Feb/16","21:27",1,1,57.7,"Box C-1",""
"2",2016,674,"CH",2905,"RC-New",0,"6/Mar/16","23:12",1,1,59.7,"Box C-1",""
"3",2016,616,"SU",2946,"RC-On, OK",0,"31/Jan/16","21:08",1,1,64.2,"Box S-2",""
"4",2016,670,"CH",3041,"RC-New",0,"6/Mar/16","22:24",1,1,67.9,"Box C-1",""
"5",2016,624,"CH",3274,"RC-On",0,"9/Feb/16","21:15",1,1,59.8,"Box C-1",""
"6",2016,644,"CH",3346,"RC-New",0,"14/Feb/16","21:36",1,1,61.9,"Box C-1",""
"7",2016,647,"CH",3346,"RC-On, OK",0,"16/Feb/16","21:45",1,1,60.6,"Box C-1",""
"8",2016,620,"CH",3942,"RC-On",0,"9/Feb/16","21:18",1,1,60.6,"Box C-1",""
"9",2016,613,"CH",5666,"RC-On, OK",0,"6/Mar/16","23:15",1,1,57.4,"Box C-1",""
"10",2016,742,"AG",22113,"RC-On, OK",1,"19/Mar/16","0:04",1,1,63.1,"Box A-2",""
"11",2016,772,"AG",22113,"RC-On, OK",1,"27/Mar/16","0:06",1,1,60.1,"Box A-2",""
"12",2016,757,"AG",22181,"RC-On, OK",0,"27/Mar/16","23:56",1,1,59.3,"Box A-2",""
"13",2016,748,"AG",22197,"RC-Switch (Attempt)",0,"19/Mar/16","1:05",1,1,60,"Box A-2",""
"14",2016,675,"AG",22781,"RC-Switch",1,"28/Feb/16","22:39",1,1,63.5,"Box A-1",""
"15",2016,639,"SU",22806,"RC-New",0,"31/Jan/16","20:55",1,1,64.2,"Box S-2",""
"16",2016,677,"JO",22813,"RC-Switch",0,"26/Feb/16","21:52",1,1,61.5,"Box J-3",""
"17",2016,712,"JO",22813,"RC-Switch",0,"8/Mar/16","23:29",1,1,61.2,"Box J-2",""
"18",2016,636,"CH",22844,"RC-New",0,"16/Feb/16","21:54",1,1,60.1,"Box C-1",""
"19",2016,663,"JO",22873,"RC-Switch",0,"26/Feb/16","22:58",1,1,62.3,"Box J-2",""
"20",2016,715,"JO",22873,"RC-On, OK",0,"8/Mar/16","22:42",1,1,60.7,"Box J-2",""
"21",2016,622,"CH",22935,"RC-New",0,"9/Feb/16","21:21",1,1,60.1,"Box C-1",""
"22",2016,678,"CH",22959,"RC-New",0,"6/Mar/16","22:11",1,1,61.7,"Box C-1",""
"23",2016,710,"JO",22975,"RC-On, OK",0,"8/Mar/16","22:46",1,1,62.7,"Box J-2",""
"24",2016,778,"JO",22975,"RC-On, OK",0,"28/Mar/16","23:58",1,1,61.7,"Box J-3",""
"25",2016,676,"AG",23177,"RC-Switch",1,"28/Feb/16","22:12",1,1,59.9,"Box A-1",""
"26",2016,738,"AG",23177,"RC-On, OK",1,"19/Mar/16","23:20",1,1,59.6,"Box A-2",""
"27",2016,724,"AG",23177,"RC-On, OK",1,"27/Mar/16","0:41",1,1,59.1,"Box A-2",""
"28",2016,713,"JO",23182,"RC-New",0,"8/Mar/16","22:35",1,1,60.1,"Box J-2",""
"29",2016,685,"AG",23203,"RC-New",1,"28/Feb/16","22:05",1,1,59.1,"Box A-1",""
"30",2016,739,"AG",23203,"RC-On, OK",1,"19/Mar/16","23:47",1,1,59.8,"Box A-2",""
"31",2016,747,"AG",23207,"RC-New",0,"19/Mar/16","23:35",1,1,60.5,"Box A-2",""
"32",2016,635,"SU",23238,"RC-New",0,"31/Jan/16","20:24",1,1,59,"Box S-2",""
"33",2016,615,"SU",23242,"RC-On, OK",0,"31/Jan/16","20:57",1,1,59.5,"Box S-2",""
"34",2016,640,"SU",23243,"RC-New",0,"31/Jan/16","20:36",1,1,59.3,"Box S-2",""
"35",2016,637,"AG",23251,"RC-Switch",1,"28/Feb/16","22:10",1,1,63.4,"Box A-1",""
"36",2016,729,"AG",23251,"RC-On, OK",1,"19/Mar/16","23:55",1,1,61.2,"Box A-2",""
"37",2016,619,"CH",23284,"RC-New",0,"16/Feb/16","22:10",1,1,58.6,"Box C-1",""
"38",2016,665,"JO",23307,"RC-New",0,"26/Feb/16","23:12",1,1,60.8,"Box J-2",""
"39",2016,701,"JO",23307,"RC-On, OK",0,"28/Mar/16","23:58",1,1,60.6,"Box J-3",""
"40",2016,716,"JO",23307,"RC-On, OK",0,"8/Mar/16","22:16",1,1,59.6,"Box J-2",""
"41",2016,623,"CH",23609,"RC-On",0,"9/Feb/16","21:11",1,1,64,"Box C-1",""
"42",2016,669,"JO",23617,"RC-Switch",0,"26/Feb/16","22:19",1,1,60.8,"Box J-2",""
"43",2016,718,"JO",23617,"RC-Switch",0,"8/Mar/16","23:23",1,1,59.8,"Box J-2",""
"44",2016,765,"JO",23617,"RC-On, OK",0,"28/Mar/16","23:48",1,1,59.8,"Box J-3",""
"45",2016,671,"JO",23624,"RC-New",0,"26/Feb/16","23:23",1,1,60.7,"Box J-2",""
"46",2016,683,"AG",23627,"RC-On, OK",1,"28/Feb/16","22:06",1,1,55.4,"Box A-2",""
"47",2016,727,"AG",23627,"RC-On, OK",1,"19/Mar/16","23:26",1,1,60.3,"Box A-2",""
"48",2016,771,"AG",23627,"RC-On, OK",1,"27/Mar/16","0:24",1,1,59.6,"Box A-2",""
"49",2016,673,"JO",23638,"RC-Switch",0,"26/Feb/16","22:37",1,1,59.7,"Box J-2",""
"50",2016,714,"JO",23641,"RC-Switch",0,"8/Mar/16","22:57",1,1,59,"Box J-2",""
"51",2016,707,"JO",23679,"RC-On, OK",0,"8/Mar/16","22:56",1,1,63.4,"Box J-2",""
"52",2016,780,"JO",23679,"RC-On, OK",0,"28/Mar/16","23:23",1,1,59.3,"Box J-3",""
"53",2016,672,"JO",23682,"RC-Switch",0,"26/Feb/16","22:02",1,1,60.2,"Box J-2",""
"54",2016,702,"JO",23682,"RC-On, OK",0,"8/Mar/16","22:02",1,1,62.5,"Box J-2",""
"55",2016,763,"JO",23682,"RC-On, OK",0,"28/Mar/16","0:16",1,1,60,"Box J-3",""
"56",2016,657,"JO",23686,"RC-Switch",0,"26/Feb/16","22:39",1,1,60.6,"Box J-2",""
"57",2016,719,"JO",23686,"RC-On, OK",0,"8/Mar/16","22:30",1,1,58.9,"Box J-2",""
"58",2016,746,"JO",23697,"RC-On, OK",0,"28/Mar/16","23:34",1,1,59,"Box J-3",""
"59",2016,690,"AG",23738,"RC-Switch",1,"28/Feb/16","22:05",1,1,60.3,"Box A-1",""
"60",2016,745,"AG",23738,"RC-On, OK",1,"19/Mar/16","23:23",1,1,60.5,"Box A-2",""
"61",2016,779,"AG",23766,"RC-New",0,"27/Mar/16","0:04",1,1,59.6,"Box A-2",""
"62",2016,697,"CH",26506,"RC-On, OK",0,"6/Mar/16","23:10",1,1,63.3,"Box C-1",""
"63",2016,572,"CH",26523,"RC-New",0,"16/Feb/16","21:33",1,1,59.4,"Box C-1",""
"64",2016,659,"CH",26523,"RC-On, OK",0,"6/Mar/16","22:20",1,1,56.8,"Box C-1",""
"65",2016,662,"CH",26545,"RC-On, OK",0,"6/Mar/16","22:35",1,1,62.4,"Box C-1",""
"66",2016,679,"CH",27938,"RC-New",0,"6/Mar/16","22:55",1,1,57.7,"Box C-1",""
"67",2017,1743,"CH",3041,"on",0,"24/Mar/17","23:25",1,1,63,"",""
"68",2017,1732,"KL",22109,"149.814",1,"29/Mar/17","3:27",1,1,65.6,"",""
"69",2017,1524,"AG",22113,"on",1,"19/Feb/17","~22:00",1,NA,NA,"",""
"70",2017,1710,"AG",22113,"on",1,"3/Mar/17","21:56",1,1,59.6,"",""
"71",2017,1714,"AG",22113,"on",1,"1/Apr/17","0:43",1,1,64.8,"",""
"72",2017,1604,"KL",22130,"149.8",0,"1/Mar/17","22:35",1,1,60.4,"",""
"73",2017,1711,"KL",22130,"149.42",0,"29/Mar/17","1:20",1,1,62.5,"",""
"74",2017,1725,"KL",22724,"149.32",1,"29/Mar/17","2:35",1,1,59.2,"",""
"75",2017,1742,"KL",22724,"149.449",1,"1/Mar/17","23:12",1,1,59,"",""
