"","Bunny.ID","GRID","XYZ","Date.XYZ.On","XYZ.Schedule","Time.XYZ.On","GPS","Date.GPS.On","Time.GPS.On","GPS.Schedule","GPS.Delay","Frequency","Date.on.Bunny","Time.on.Bunny","Date.Off.Bunny","Time.off.Bunny","Date.GPS.OFF","Time.GPS.Off","GPS.Dump.","Date.XYZ.Off","SigA.Start","SigA.End","SigB.Start","SigB.End","Time.XYZ.Off","XYZ.Dump","Last.Record.Date","Notes","DateFile","FileName"
"1","22109","Kloo","BZ","20-May-18",1,"14:18:18",NA,NA,NA,NA,NA,149.29,"20-May-18","~18:00","25-Nov-18","22:40",NA,NA,NA,"27-Nov-18",NA,NA,NA,NA,"already off","Y","28-Jun-18","","Nov27_2018","Nov27_2018_BZ_22109_1.csv"
"2","23921","Kloo","HH","23-May-18",1,"14:03:05",NA,NA,NA,NA,NA,149.1,"23-May-18","~18:00","14-Nov-18","~22:30",NA,NA,NA,"23-Nov-18",NA,NA,NA,NA,"already off","","07-Aug-18","","Nov23_2018","Nov23_2018_HH_23921_1.csv"
"3","24553","Kloo","MZ","23-May-18",1,"14:03:13",NA,NA,NA,NA,NA,149.69,"23-May-18","~18:00","12-Aug-18","~14:00",NA,NA,NA,"05-Nov-18",NA,NA,NA,NA,"already off","Y","12-Aug-18","Axy worked great","Nov05_2018","Nov05_2018_MZ_24553_1.csv"
"4","24498","Kloo","JJ","23-May-18",1,"14:03:22",NA,NA,NA,NA,NA,149.79,"23-May-18","~18:00","21-Nov-18","~11:00",NA,NA,NA,"23-Nov-18",NA,NA,NA,NA,"already off","","09-Oct-18","Axy worked great","Nov23_2018","Nov23_2018_JJ_24498_1.csv"
"5","24521","Kloo","EA","23-May-18",1,"14:03:25",NA,NA,NA,NA,NA,149.22,"23-May-18","~18:00","02-Jul-18","~14:00",NA,NA,NA,"05-Nov-18",NA,NA,NA,NA,"already off","Y","28-Jul-18","Axy worked great","Nov05_2018","Nov05_2018_EA_24521_1.csv"
"6","22724","Kloo","HC Alb","24-May-18",1,"13:51:53",NA,NA,NA,NA,NA,149.81,"24-May-18","~18:00","28-Jul-18","~9:00",NA,NA,NA,"05-Nov-18",NA,NA,NA,NA,"already off","Y","11-Aug-18","Axy worked good","Nov05_2018","Nov05_2018_HC Alb_22724_1.csv"
"7","24335","Kloo","BU","24-May-18",1,"13:52:03",NA,NA,NA,NA,NA,171.895,"24-May-18","~18:00","21-Nov-18","11:15",NA,NA,NA,"23-Nov-18",NA,NA,NA,NA,"already off","Y","16-Jun-18","Axy did not last long, only 2 weeks","Nov23_2018","Nov23_2018_BU_24335_1.csv"
"8","24271","Kloo","HA","24-May-18",1,"15:34:22",NA,NA,NA,NA,NA,171.635,"24-May-18","~18:00","17-Nov-18","21:50",NA,NA,NA,"23-Nov-18",NA,NA,NA,NA,"already off","","07-Aug-18","Axy worked well","Nov23_2018","Nov23_2018_HA_24271_1.csv"
"9","25021","Jo","HD","24-May-18",1,"15:34:27",NA,NA,NA,NA,NA,171.135,"24-May-18","~18:00","18-Jan-19","22:58",NA,NA,NA,"18-Jan-19",NA,NA,NA,NA,"already off","","06-Aug-18","Axy worked well","Jan18_2019","Jan18_2019_HD_25021_1.csv"
"10","24579","Jo","EF","25-May-18",1,"16:41:26",NA,NA,NA,NA,NA,170.845,"25-May-18","~18:00","12-Nov-18","~16:00",NA,NA,NA,"23-Nov-18",NA,NA,NA,NA,"already off","","04-Aug-18","Axy worked well","Nov23_2018","Nov23_2018_EF_24579_1.csv"
"11","24653","Kloo","CF","27-May-18",1,"15:46:48",NA,NA,NA,NA,NA,149.439,"27-May-18","~18:00","13-Nov-18","22:01",NA,NA,NA,"23-Nov-18",NA,NA,NA,NA,"already off","","04-Aug-18","","Nov23_2018","Nov23_2018_CF_24653_1.csv"
"12","24688","Kloo","CG","27-May-18",1,"15:54:52",NA,NA,NA,NA,NA,149.49,"27-May-18","~18:00","15-Nov-18","21:00",NA,NA,NA,"23-Nov-18",NA,NA,NA,NA,"already off","","30-Jul-18","Axy worked well","Nov23_2018","Nov23_2018_CG_24688_1.csv"
"13","23717","Kloo","BX","28-May-18",1,"13:55:38",NA,NA,NA,NA,NA,149.39,"28-May-18","~18:00","20-Feb-19","5:00",NA,NA,NA,"20-Feb-19",NA,NA,NA,NA,"already off","","05-Jun-19","axy worked for only 8 days","Feb20_2019","Feb20_2019_BX_23717_1.csv"
"14","22847","Kloo","HF","30-May-18",1,"13:31:12",NA,NA,NA,NA,NA,149.159,"30-May-18","~18:00","21-Nov-18","12:05",NA,NA,NA,"23-Nov-18",NA,NA,NA,NA,"already off","","13-Aug-18","Axy worked well","Nov23_2018","Nov23_2018_HF_22847_1.csv"
"15","24194","ChadBear","BH","01-Jun-18",1,"14:32:30",NA,NA,NA,NA,NA,171.581,"01-Jun-18","~18:00","05-Dec-18","22:15",NA,NA,NA,"06-Dec-18",NA,NA,NA,NA,"already off","","19-Aug-18","Axy worked well","Dec06_2018","Dec06_2018_BH_24194_1.csv"
"16","22837","Kloo","BL","01-Jun-18",1,"14:32:34",NA,NA,NA,NA,NA,170.395,"01-Jun-18","~18:00","13-Nov-18","~21:00",NA,NA,NA,"23-Nov-18",NA,NA,NA,NA,"already off","","19-Aug-18","Axy worked well","Nov23_2018","Nov23_2018_BL_22837_1.csv"
"17","22837","Kloo","HC","20-Nov-18",1,"19:52:52","AR","20-Nov-18","19:54:42",30,NA,149.665,"21-Nov-18","11:30","17-Dec-18","~22:30","18-Dec-18","0:07","","17-Dec-18",NA,NA,NA,NA,"23:43","","17-Dec-18","Axy worked well","Dec17_2018","Dec17_2018_HC_22837_1.csv"
"18","24335","Kloo","MZ","20-Nov-18",1,"19:50:21","AF","20-Nov-18","19:57:37",30,NA,149.029,"21-Nov-18","11:15","15-Dec-18","23:15","16-Dec-18","0:54","","16-Dec-18",NA,NA,NA,NA,"0:47","","16-Dec-18","Axy worked well","Dec16_2018","Dec16_2018_MZ_24335_1.csv"
"19","25224","ChadBear","EA","20-Nov-18",1,"19:53:53","AI","20-Nov-18","19:59:25",30,NA,149.37,"21-Nov-18","~12:15","23-Nov-18","14:45","25-Nov-18","already off","Y","29-Nov-18",NA,NA,NA,NA,"10:21","","29-Nov-18","Axy worked well","Nov29_2018","Nov29_2018_EA_25224_1.csv"
"20","22847","Kloo","BO","20-Nov-18",1,"19:53:34","MG","20-Nov-18","19:57:21",30,NA,149.924,"21-Nov-18","12:05","04-Jan-19","22:30","04-Jan-19","already off",NA,"04-Jan-19",NA,NA,NA,NA,"already off","","31-Dec-18","Axy worked well","Jan04_2019","Jan04_2019_BO_22847_1.csv"
"21","23921","Kloo","ET","20-Nov-18",1,"19:53:22","AO","20-Nov-18","19:58:38",30,NA,149.547,"21-Nov-18","~10:30","13-Dec-18","12:35","13-Dec-18","12:35","Y","14-Dec-18",NA,NA,NA,NA,"10:31","","14-Dec-18","Axy worked well","Dec14_2018","Dec14_2018_ET_23921_1.csv"
